player_id,playing_season,player_salary
abrinal01,2016-2017,5994764
acyqu01,2016-2017,1050961
acyqu01,2017-2018,1709538
adamsst01,2016-2017,3140517
adamsst01,2017-2018,22471910
afflaar01,2016-2017,12500000
afflaar01,2017-2018,145691
ajincal01,2016-2017,4600000
ajincal01,2017-2018,4961798
aldrila01,2016-2017,20575005
aldrila01,2017-2018,21461010
allenla01,2016-2017,4000000
allento01,2016-2017,5505618
allento01,2017-2018,1471382
aminual01,2016-2017,7680965
aminual01,2017-2018,7319035
anderch01,2016-2017,1551659
anderal01,2016-2017,1315448
anderju01,2016-2017,1514160
anderju01,2017-2018,1579440
anderky01,2016-2017,1192080
anderky01,2017-2018,2151704
anderry01,2016-2017,18735364
anderry01,2017-2018,19578455
antetgi01,2016-2017,2995421
antetgi01,2017-2018,22471910
anthoca01,2016-2017,24559380
anthoca01,2017-2018,26243760
anthojo01,2016-2017,663810
arizatr01,2016-2017,7806971
arizatr01,2017-2018,7420912
arthuda01,2016-2017,8070175
arthuda01,2017-2018,7464912
